iter	Passed	Remaining
739	4880	1714
740	4886	1708
741	4893	1701
742	4900	1694
743	4906	1688
744	4912	1681
745	4918	1674
746	4925	1668
747	4931	1661
748	4938	1654
749	4944	1648
750	4950	1641
751	4956	1634
752	4962	1627
753	4969	1621
754	4975	1614
755	4981	1607
756	4987	1601
757	4994	1594
758	5000	1587
759	5007	1581
760	5014	1574
761	5020	1568
762	5027	1561
763	5033	1554
764	5039	1548
765	5046	1541
766	5052	1534
767	5058	1528
768	5064	1521
769	5070	1514
770	5077	1508
771	5084	1501
772	5090	1494
773	5096	1488
774	5103	1481
775	5109	1474
776	5115	1468
777	5122	1461
778	5128	1455
779	5134	1448
780	5140	1441
781	5146	1434
782	5152	1427
783	5158	1421
784	5164	1414
785	5171	1407
786	5177	1401
787	5183	1394
788	5190	1387
789	5196	1381
790	5202	1374
791	5208	1367
792	5214	1361
793	5221	1354
794	5227	1347
795	5233	1341
796	5239	1334
797	5246	1327
798	5252	1321
799	5258	1314
800	5264	1307
801	5270	1301
802	5276	1294
803	5282	1287
804	5289	1281
805	5295	1274
806	5302	1268
807	5309	1261
808	5315	1254
809	5321	1248
810	5327	1241
811	5334	1234
812	5340	1228
813	5346	1221
814	5353	1215
815	5359	1208
816	5365	1201
817	5372	1195
818	5378	1188
819	5384	1181
820	5390	1175
821	5396	1168
822	5402	1162
823	5409	1155
824	5415	1148
825	5421	1142
826	5427	1135
827	5434	1128
828	5440	1122
829	5446	1115
830	5452	1108
831	5458	1102
832	5465	1095
833	5471	1088
834	5477	1082
835	5483	1075
836	5489	1069
837	5495	1062
838	5501	1055
839	5507	1049
840	5514	1042
841	5519	1035
842	5525	1029
843	5531	1022
844	5538	1015
845	5543	1009
846	5549	1002
847	5555	995
848	5560	989
849	5567	982
850	5572	975
851	5579	969
852	5584	962
853	5590	955
854	5596	949
855	5603	942
856	5609	935
857	5615	929
858	5621	922
859	5627	916
860	5633	909
861	5639	902
862	5645	896
863	5650	889
864	5656	882
865	5663	876
866	5669	869
867	5675	863
868	5681	856
869	5686	849
870	5692	843
871	5698	836
872	5705	829
873	5711	823
874	5717	816
875	5723	810
876	5729	803
877	5735	797
878	5741	790
879	5747	783
880	5753	777
881	5760	770
882	5766	764
883	5772	757
884	5778	750
885	5784	744
886	5789	737
887	5795	731
888	5802	724
889	5808	717
890	5814	711
891	5820	704
892	5826	698
893	5832	691
894	5838	685
895	5844	678
896	5850	671
897	5856	665
898	5862	658
899	5868	652
900	5874	645
901	5880	638
902	5886	632
903	5892	625
904	5898	619
905	5904	612
906	5910	606
907	5916	599
908	5922	592
909	5928	586
910	5934	579
911	5940	573
912	5946	566
913	5952	560
914	5958	553
915	5964	546
916	5970	540
917	5976	533
918	5982	527
919	5988	520
920	5994	514
921	6000	507
922	6006	501
923	6013	494
924	6019	488
925	6025	481
926	6031	474
927	6037	468
928	6043	461
929	6049	455
930	6055	448
931	6061	442
932	6068	435
933	6074	429
934	6080	422
935	6086	416
936	6091	409
937	6097	403
938	6104	396
939	6110	390
940	6116	383
941	6122	376
942	6128	370
943	6134	363
944	6140	357
945	6146	350
946	6153	344
947	6159	337
948	6165	331
949	6171	324
950	6177	318
951	6183	311
952	6189	305
953	6195	298
954	6201	292
955	6207	285
956	6213	279
957	6219	272
958	6225	266
959	6231	259
960	6237	253
961	6243	246
962	6249	240
963	6255	233
964	6261	227
965	6267	220
966	6273	214
967	6279	207
968	6285	201
969	6291	194
970	6297	188
971	6304	181
972	6309	175
973	6316	168
974	6322	162
975	6328	155
976	6334	149
977	6340	142
978	6346	136
979	6353	129
980	6359	123
981	6365	116
982	6372	110
983	6378	103
984	6384	97
985	6390	90
986	6395	84
987	6402	77
988	6407	71
989	6414	64
990	6420	58
991	6425	51
992	6431	45
993	6437	38
994	6443	32
995	6449	25
996	6455	19
997	6462	12
998	6468	6
999	6474	0
